"Date","Open","High","Low","Close"
"13 Apr 2018","10495.30","10519.90","10451.45","10480.60"
"12 Apr 2018","10410.65","10469.90","10395.25","10458.65"
"11 Apr 2018","10428.15","10428.15","10355.60","10417.15"
"10 Apr 2018","10412.90","10424.85","10381.50","10402.25"
"09 Apr 2018","10333.70","10397.70","10328.50","10379.35"
"06 Apr 2018","10322.75","10350.45","10290.85","10331.60"
"05 Apr 2018","10228.45","10331.80","10227.45","10325.15"
"04 Apr 2018","10274.60","10279.85","10111.30","10128.40"
"03 Apr 2018","10186.85","10255.35","10171.05","10245.00"
"02 Apr 2018","10151.65","10220.10","10127.75","10211.80"
"28 Mar 2018","10143.60","10158.35","10096.90","10113.70"
"27 Mar 2018","10188.00","10207.90","10139.65","10184.15"
"26 Mar 2018","9989.15","10143.50","9958.55","10130.65"
"23 Mar 2018","9968.80","10027.70","9951.90","9998.05"
"22 Mar 2018","10167.50","10207.85","10105.40","10114.75"
"21 Mar 2018","10181.95","10227.30","10132.95","10155.25"
"20 Mar 2018","10051.55","10155.65","10049.10","10124.35"
"19 Mar 2018","10215.35","10224.55","10075.30","10094.25"
"16 Mar 2018","10345.15","10346.30","10180.25","10195.15"
"15 Mar 2018","10405.45","10420.00","10346.20","10360.15"
"14 Mar 2018","10393.05","10420.35","10336.30","10410.90"
"13 Mar 2018","10389.50","10478.60","10377.85","10426.85"
"12 Mar 2018","10301.60","10433.65","10295.45","10421.40"
"09 Mar 2018","10271.30","10296.70","10211.90","10226.85"
"08 Mar 2018","10216.25","10270.35","10146.40","10242.65"
"07 Mar 2018","10232.95","10243.35","10141.55","10154.20"
"06 Mar 2018","10420.50","10441.35","10215.90","10249.25"
"05 Mar 2018","10428.30","10428.70","10323.90","10358.85"
"01 Mar 2018","10479.95","10525.50","10447.15","10458.35"
"28 Feb 2018","10488.95","10535.50","10461.55","10492.85"
"27 Feb 2018","10615.20","10631.65","10537.25","10554.30"
"26 Feb 2018","10526.55","10592.95","10520.20","10582.60"
"23 Feb 2018","10408.10","10499.10","10396.65","10491.05"
"22 Feb 2018","10354.35","10397.55","10340.65","10382.70"
"21 Feb 2018","10426.00","10426.10","10349.60","10397.45"
"20 Feb 2018","10391.00","10429.35","10347.65","10360.40"
"19 Feb 2018","10488.90","10489.35","10302.75","10378.40"
"16 Feb 2018","10596.20","10612.90","10434.05","10452.30"
"15 Feb 2018","10537.90","10618.10","10511.05","10545.50"
"14 Feb 2018","10585.75","10590.55","10456.65","10500.90"
"12 Feb 2018","10518.20","10555.50","10485.40","10539.75"
"09 Feb 2018","10416.50","10480.20","10398.20","10454.95"
"08 Feb 2018","10518.50","10637.80","10479.55","10576.85"
"07 Feb 2018","10607.20","10614.00","10446.40","10476.70"
"06 Feb 2018","10295.15","10594.15","10276.30","10498.25"
"05 Feb 2018","10604.30","10702.75","10586.80","10666.55"
"02 Feb 2018","10938.20","10954.95","10736.10","10760.60"
"01 Feb 2018","11044.55","11117.35","10878.80","11016.90"
"31 Jan 2018","11018.80","11058.50","10979.30","11027.70"
"30 Jan 2018","11120.85","11121.10","11033.90","11049.65"
"29 Jan 2018","11079.35","11171.55","11075.95","11130.40"
"25 Jan 2018","11095.60","11095.60","11009.20","11069.65"
"24 Jan 2018","11069.35","11110.10","11046.15","11086.00"
"23 Jan 2018","10997.40","11092.90","10994.55","11083.70"
"22 Jan 2018","10883.2","10975.1","10881.4","10966.2"
"19 Jan 2018","10829.20","10906.85","10793.90","10894.70"
"18 Jan 2018","10873.40","10887.50","10782.40","10817.00"
"17 Jan 2018","10702.45","10803.00","10666.75","10788.55"
"16 Jan 2018","10761.50","10762.35","10687.85","10700.45"
"15 Jan 2018","10718.50","10782.65","10713.80","10741.55"
"12 Jan 2018","10682.55","10690.40","10597.10","10681.25"
"11 Jan 2018","10637.05","10664.60","10612.35","10651.20"
"10 Jan 2018","10652.05","10655.50","10592.70","10632.20"
"09 Jan 2018","10645.10","10659.15","10603.60","10637.00"
"08 Jan 2018","10591.70","10631.20","10588.55","10623.60"
"05 Jan 2018","10534.25","10566.10","10520.10","10558.85"
"04 Jan 2018","10469.40","10513.00","10441.45","10504.80"
"03 Jan 2018","10482.65","10503.60","10429.55","10443.20"
"02 Jan 2018","10477.55","10495.20","10404.65","10442.20"
"01 Jan 2018","10531.70","10537.85","10423.10","10435.55"
"29 Dec 2017","10492.35","10538.70","10488.65","10530.70"
"28 Dec 2017","10498.20","10534.55","10460.45","10477.90"
"27 Dec 2017","10531.05","10552.40","10469.25","10490.75"
"26 Dec 2017","10512.30","10545.45","10477.95","10531.50"
"22 Dec 2017","10457.30","10501.10","10448.25","10493.00"
"21 Dec 2017","10473.95","10473.95","10426.90","10440.30"
"20 Dec 2017","10494.40","10494.45","10437.15","10444.20"
"19 Dec 2017","10414.80","10472.20","10406.00","10463.20"
"18 Dec 2017","10263.10","10443.55","10074.80","10388.75"
"15 Dec 2017","10345.65","10373.10","10319.65","10333.25"
"14 Dec 2017","10229.30","10276.10","10141.55","10252.10"
"13 Dec 2017","10236.60","10296.55","10169.85","10192.95"
"12 Dec 2017","10324.90","10326.10","10230.20","10240.15"
"11 Dec 2017","10310.50","10329.20","10282.05","10322.25"
"08 Dec 2017","10198.45","10270.85","10195.25","10265.65"
"07 Dec 2017","10063.45","10182.65","10061.90","10166.70"
"06 Dec 2017","10088.80","10104.20","10033.35","10044.10"
"05 Dec 2017","10118.25","10147.95","10069.10","10118.25"
"04 Dec 2017","10175.05","10179.20","10095.70","10127.75"
"01 Dec 2017","10263.70","10272.70","10108.55","10121.80"
"30 Nov 2017","10332.70","10332.70","10211.25","10226.55"
"29 Nov 2017","10376.65","10392.95","10345.90","10361.30"
"28 Nov 2017","10387.90","10409.55","10355.20","10370.25"
"27 Nov 2017","10361.05","10407.15","10340.20","10399.55"
"24 Nov 2017","10366.80","10404.50","10362.25","10389.70"
"23 Nov 2017","10358.45","10374.3","10307.3","10348.75"
"22 Nov 2017","10350.80","10368.70","10309.55","10342.30"
"21 Nov 2017","10329.25","10358.70","10315.05","10326.90"
"20 Nov 2017","10287.20","10309.85","10261.50","10298.75"
"17 Nov 2017","10324.55","10343.60","10268.05","10283.60"
"16 Nov 2017","10152.90","10232.25","10139.20","10214.75"
"15 Nov 2017","10171.95","10175.45","10094.00","10118.05"
"14 Nov 2017","10223.40","10248.00","10175.55","10186.60"
"13 Nov 2017","10322.00","10334.15","10216.25","10224.95"
"10 Nov 2017","10304.35","10344.95","10254.10","10321.75"
"09 Nov 2017","10358.65","10368.45","10266.95","10308.95"
"08 Nov 2017","10361.95","10384.25","10285.50","10303.15"
"07 Nov 2017","10477.15","10485.75","10340.80","10350.15"
"06 Nov 2017","10431.75","10490.45","10413.75","10451.80"
"03 Nov 2017","10461.55","10461.70","10403.60","10452.50"
"02 Nov 2017","10440.50","10453.00","10412.55","10423.80"
"01 Nov 2017","10390.35","10451.65","10383.05","10440.50"
"31 Oct 2017","10364.90","10367.70","10323.95","10335.30"
"30 Oct 2017","10353.85","10384.50","10344.30","10363.65"
"27 Oct 2017","10362.30","10366.15","10311.30","10323.05"
"26 Oct 2017","10291.80","10355.65","10271.85","10343.80"
"25 Oct 2017","10321.15","10340.55","10240.90","10295.35"
"24 Oct 2017","10218.55","10237.75","10182.40","10207.70"
"23 Oct 2017","10176.65","10224.15","10124.50","10184.85"
"19 Oct 2017","10210.35","10211.95","10123.35","10146.55"
"18 Oct 2017","10209.40","10236.45","10175.75","10210.85"
"17 Oct 2017","10227.65","10251.85","10212.60","10234.45"
